Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
28,100,398,5200,722,2218
16,120,200,4400,1506,4375
28,55,148,1870,1033,793.3
14,130,232,5700,1188,5728
40,25,57,260,520,19.68
14,50,123,3000,1125,2460
22,45,133,1200,650,256
40,244,520,3000,772,1581
65,95,240,505,600,192
40,50,116,585,700,268.8
40,116,238,1170,900,691.2
7,85,158,6400,1000,4787
28,50,118,1270,797,612.1
28,15,245,2410,758,388.1
32,65,246,1303,760,291.8
28,100,294,3540,719,1933
45,35,114,177,133,96
28,33,118,1270,837,702.7
28,100,212,2800,850,2176
28,33,87,1020,954,732.7
55,14,121,314,400,32
12,160,545,13600,1365,6451
14,130,232,5700,1188,5728
28,33,116,585,775,240
40,60,137,826,650,832
28,90,245,2410,554,425.5
40,30,104,627,600,480
28,50,118,1270,993,381.3
14,10,74,1800,937,797.2
40,12,116,585,500,96
65,25,86,210,540,20.8
28,80,123,1500,950,1216
28,33,87,1020,980,752.6
16,100,314,7200,1557,8945
65,50,324,754,500,160
55,800,470,1400,610,622.1
8,320,628,28300,1440,29770
90,203,181,232,500,240
28,75,148,1870,993,1439
40,225,334,2154,850,2720
12,115,545,13600,1140,7066
40,49,116,585,700,268.8
40,9,75,450,277,44.32
40,19,59,292,650,104
28,120,228,2940,1127,2413
80,40,127,210,500,38.4
40,28,144,727,500,240
12,175,445,10800,1470,7181
28,225,352,4313,900,3226
12,150,545,13600,1380,9362
28,150,294,3540,915,2634
28,250,352,4313,850,4096
14,65,123,3000,1090,2106
28,65,123,1500,900,952.3
28,45,123,1500,725,992
28,55,148,1870,1029,1405
14,65,123,3000,1175,2462
28,200,352,4313,800,2867
40,33,57,260,589,44.86
40,15,79,292,475,91.2
55,48,146,514,550,352
28,15,116,585,775,297.6
7,205,251,10300,1243,10440
28,185,352,4313,925,2995
40,25,67,370,700,224
28,35,77,950,725,633.6
28,100,366,5000,723,2961
28,190,366,5000,970,3973
40,74,166,1040,690,1104
40,12,79,292,574,110.1
80,20,169,289,475,60.8
28,175,596,8900,1000,8192
55,75,196,505,600,144
14,150,232,5700,1168,5259
14,85,232,5700,926,4940
28,250,366,5000,850,3482
7,110,158,6400,1500,5196
28,140,294,3540,980,1981
28,41,118,1270,876,336.4
55,50,121,314,550,89.6
55,106,192,666,777,497.3
14,75,132,3300,1392,2332
65,25,86,210,567,22.4
55,250,256,956,625,1000
80,29,169,289,625,80
22,30,181,1300,200,640
16,75,200,4400,1076,3031
14,50,123,3000,1002,2460
40,150,520,3000,552,847.9
28,100,398,5200,975,2496
40,50,166,1040,700,1120
14,30,74,1800,1228,751.6
28,50,77,950,730,599
28,55,123,1500,800,819.2
16,235,610,15300,1304,10340
40,19,59,292,650,104
28,300,398,5200,557,4825
45,120,168,372,500,240
40,50,57,260,589,44.86
7,15,156,9800,400,1434
28,30,87,1020,889,341.4
28,55,123,1500,800,819.2
32,65,246,1303,760,194.6
65,25,86,210,540,17.28
28,45,56,690,600,384
28,33,87,1020,980,752.6
40,200,389,2640,800,2253
28,245,561,7080,745,5046
12,80,545,13600,930,5914
40,25,79,292,523,100.4
40,172,529,3100,513,722.3
32,35,246,1303,686,526.8
40,14,57,260,500,34.24
16,250,610,15300,1190,9526
55,110,192,666,669,428.2
40,74,166,1040,690,1104
28,45,118,1270,837,642.8
40,15,59,292,600,96
16,75,200,4400,1291,2974
55,150,470,1400,602,462.3
40,219,520,3000,732,1405
28,45,148,1870,863,883.7
40,25,67,370,625,200
55,14,121,314,500,80
40,160,332,1950,701,941.5
14,15,210,4940,300,845.6
80,20,127,210,450,28.8
40,20,104,716,600,576
40,75,212,1700,680,1306
55,45,135,378,722,173.3
55,30,135,378,680,163.2
40,29,79,292,810,155.5
14,230,495,12500,1200,10750
65,59,240,505,550,176
65,35,153,390,594,142.6
28,15,110,1178,450,115.2
14,75,123,3000,850,1306
40,39,104,627,650,416
40,19,59,292,650,104
14,50,123,3000,1090,2150
28,300,294,3540,915,3130
55,65,135,378,796,191
14,130,232,5700,1120,5700
14,250,495,12500,1250,12030
14,15,210,4940,300,1792
14,100,232,5700,1000,4963
40,600,520,3000,574,1176
55,40,121,314,450,72
40,39,118,716,650,416
55,20,73,242,600,96
40,75,166,1040,800,1280
14,18,74,1800,1303,1147
28,51,118,1270,954,732.7
40,38,144,727,550,264
7,300,750,50000,1000,23070
65,75,240,505,600,192
28,250,561,7080,875,5345
12,250,815,21100,1297,15670
28,75,366,5000,723,2961
28,15,87,1020,719,291.1
14,15,210,4940,300,384.4
28,250,561,7080,836,4709
65,20,86,210,550,22.4
28,225,561,7080,575,2870
14,175,232,5700,1257,6359
28,25,110,1178,600,153.6
28,250,366,5000,834,2989
65,20,162,282,575,48
28,50,118,1270,1085,833.3
14,10,210,4940,300,384.4
12,50,200,4700,1065,2500
32,35,227,1178,444,355.2
40,105,238,1170,871,501.4
12,280,754,18600,1350,16310
65,75,240,505,600,192
40,31,100,486,475,35.2
65,73,153,390,600,144
14,18,74,1800,1455,777.2
40,225,334,2154,825,2640
40,25,100,486,475,105.6
28,250,294,3540,1006,2470
12,75,200,4700,1485,2984
7,300,520,26800,1825,23040
12,185,445,10800,1470,7603
40,55,238,1170,550,422.4
22,45,94,392,350,96
28,100,107,930,497,127.2
28,122,294,3540,954,3050
55,15,73,242,720,115.2
14,75,132,3300,1493,2488
7,300,331,13230,1200,14750
28,375,352,4313,825,3405
40,225,520,3000,651,1332
14,210,495,12500,1156,10540
40,29,79,292,810,155.5
28,25,116,585,625,240
40,35,116,585,660,253.4
40,35,67,370,875,280
12,125,284,6600,1530,5027
65,25,85,180,600,48
40,20,104,716,450,432
8,150,628,28300,1320,31520
55,20,73,242,600,96
14,75,132,3300,1354,1862
40,39,104,627,650,520
55,7,67,181,400,32
14,175,495,12500,1247,12660
28,75,366,5000,723,2961
40,23,100,486,450,91.2
20,15,118,2000,384,393.2
55,75,260,754,500,240
16,90,314,7200,1012,6169
40,15,79,292,738,141.7
16,250,471,11800,1481,11340
65,75,324,754,500,240
16,95,240,5000,914,1404
14,100,232,5700,1000,4963
28,225,294,3540,745,2289
65,12,144,314,400,25.6
40,49,116,585,700,268.8
14,15,210,4940,300,983
40,247,520,3000,574,1028
14,65,123,3000,1275,2611
28,235,438,6200,900,5069
7,250,826,54200,765,19490
28,275,596,8900,1000,7168
16,75,314,7200,1139,5032
40,20,104,627,550,440
14,75,123,3000,1175,2611
28,17,245,2410,533,409.3
28,100,294,3540,654,1256
28,75,148,1870,928,1306
80,159,420,720,688,440.3
55,118,146,514,750,480
14,65,123,3000,1223,2192
40,50,116,585,700,134.4
14,65,210,4940,300,1127
32,65,246,1303,800,307.2
28,245,561,7080,745,5046
12,115,445,10800,1260,6705
14,40,132,3300,1266,1386
14,65,123,3000,1275,2611
40,7,59,292,500,80
7,180,251,10300,1465,7949
28,225,398,5200,557,4825
40,7,59,292,500,80
28,45,118,1270,900,691.2
28,15,110,1178,497,127.2
65,105,324,754,550,264
80,150,420,720,601,288.5
40,75,238,1170,775,595.2
14,150,232,5700,1000,3960
65,75,324,754,600,288
28,75,221,2540,706,1530
14,230,495,12500,852,8192
65,50,144,314,625,99.2
40,39,104,627,550,352
55,9,67,181,380,30.4
40,60,118,716,650,624
40,29,79,292,810,155.5
40,75,144,727,550,257.3
28,130,118,1270,850,326.4
28,122,294,3540,706,2169
16,120,200,4400,1506,4375
55,140,192,666,669,428.2
55,75,192,666,600,384
32,100,246,1303,800,733.4
55,35,146,514,675,432
40,64,104,627,775,620
55,75,192,666,668,427.5
40,9,67,370,800,256
28,239,561,7080,902,5196
40,18,104,716,600,576
80,40,127,210,500,38.4
40,58,144,727,506,97.15
14,15,210,4940,300,1971
80,40,127,210,459,14.69
12,250,815,21100,1290,15670
65,60,240,505,530,169.6
40,35,104,716,725,696
40,39,166,1040,575,920
40,26,104,627,450,360
40,100,137,826,730,934.4
40,32,100,486,625,130.6
40,49,116,585,700,268.8
40,160,332,1950,675,907.2
55,50,67,181,600,48
14,65,208,5000,931,2588
28,65,148,1870,667,853.8
32,35,246,1303,480,167.7
40,39,104,627,650,520
40,18,67,370,625,200
28,50,118,1270,980,752.6
16,300,610,15300,1328,10610
7,230,335,17200,2321,13210
40,32,100,486,450,108
14,250,495,12500,1250,11060
28,50,125,1550,730,786.4
80,13,127,210,400,25.6
28,85,160,2080,1000,1792
14,65,123,3000,1090,2462
80,10,127,210,400,25.6
65,182,576,1400,576,476.9
40,69,144,727,550,257.3
40,29,79,292,810,155.5
55,15,73,242,720,115.2
80,42,169,289,520,66.56
14,50,103,2200,1082,1247
28,100,294,3540,601,1154
40,225,529,3100,575,1030
16,250,471,11800,1557,10690
8,170,276,13250,1320,12740
28,225,148,1870,1033,1672
28,55,221,2540,628,1009
12,115,445,10800,960,4608
28,75,212,2800,825,1267
12,260,754,18600,1440,16310
12,215,545,13600,1605,9062
80,215,420,720,743,475.5
65,95,240,505,600,192
55,76,256,956,625,1000
28,35,118,1270,850,326.4
28,55,123,1500,800,819.2
28,32,123,1500,675,691.2
90,800,484,681,600,345.6
65,14,86,210,640,25.6
40,9,75,450,276,44.16
65,50,144,314,600,96
40,15,79,292,475,91.2
65,20,162,282,450,35.2
55,65,135,378,725,174
14,60,123,3000,1019,1371
14,150,232,5700,1120,5834
55,15,67,181,500,40
65,10,86,210,530,20.8
80,50,127,210,459,29.38
55,15,67,181,500,40
28,150,212,2800,950,2432
7,25,156,9800,300,1613
65,90,240,505,650,156
14,10,210,4940,300,461.2
40,35,116,585,700,268.8
12,50,200,4700,1350,3041
55,150,470,1400,602,462.3
28,274,352,4313,725,2227
40,108,166,1040,850,1360
80,40,127,210,500,38.4
28,225,561,7080,706,3524
28,33,118,1270,725,556.8
55,105,196,505,650,208
40,39,104,627,550,352
55,25,73,242,600,96
55,130,282,959,700,896
28,100,294,3540,706,1627
28,50,118,1270,926,711.2
40,15,79,292,475,91.2
65,75,324,754,585,374.5
65,70,324,754,500,160
12,260,754,18600,1395,16310
28,275,438,6200,1000,5120
55,20,121,314,430,68.8
65,50,153,390,800,192
55,165,192,666,825,528
14,50,123,3000,1002,1348
28,32,118,1270,709,544.5
28,45,148,1870,902,1198
14,50,103,2200,1100,1647
40,25,57,260,606,46.98
28,40,123,1500,675,864
32,65,246,1303,720,432.1
55,50,121,314,550,44.8
40,20,104,716,600,576
90,150,484,681,500,268.8
12,260,754,18600,1230,14930
55,188,470,1400,610,622.1
40,142,529,3100,475,486.4
14,15,210,4940,300,1280
14,15,210,4940,300,461.2
12,215,545,13600,1515,10070
28,275,596,8900,1050,8602
40,35,67,370,875,280
14,75,132,3300,1366,2215
28,85,160,2080,1000,1613
14,65,103,2200,1082,1385
28,45,118,1270,835,729.6
28,225,294,3540,745,2289
28,225,294,3540,745,2289
12,30,200,4700,1020,2550
16,150,314,7200,1506,6463
14,15,210,4940,300,384.4
40,50,166,1040,700,1120
14,150,232,5700,1096,4489
14,65,103,2200,1295,1658
7,100,197,8000,1565,4006
14,50,103,2200,1124,1248
32,35,246,1303,533,276.5
7,125,158,6400,1744,5224
40,29,79,292,874,167.8
40,208,334,2154,825,2640
28,130,212,2800,860,1761
28,85,352,4313,800,1229
28,33,123,1500,675,691.2
28,50,160,2080,930,1428
28,225,148,1870,1033,1672
40,20,57,260,500,34.24
14,15,210,4940,300,1229
28,55,123,1500,700,716.8
28,225,294,3540,745,2289
55,75,196,505,500,120
40,210,520,3000,732,1312
28,32,118,1270,745,572.2
40,35,238,1170,590,339.8
40,19,79,292,523,100.4
55,110,256,956,625,1000
28,75,148,1870,1097,1505
55,76,146,514,800,512
55,35,146,514,680,435.2
40,26,104,627,650,520
40,66,118,716,800,768
16,115,314,7200,1215,5648
55,150,260,754,702,387.1
28,110,221,2540,928,1425
32,65,227,1178,444,142.1
28,28,123,1500,575,588.8
40,25,67,370,600,192
28,35,118,1270,797,306
40,26,104,627,600,480
12,40,200,4700,1200,3318
28,75,148,1870,1020,1389
14,295,495,12500,1247,12660
55,31,121,314,550,43.2
40,175,334,2154,800,1792
40,106,238,1170,783,601.3
55,70,192,666,580,371.2
40,150,255,1700,840,1344
28,100,212,2800,850,2304
14,50,103,2200,1082,1240
28,225,398,5200,557,4825
28,35,118,1270,850,326.4
40,43,144,727,540,187.5
28,225,118,1270,954,732.7
28,75,123,1500,750,768
40,375,389,2640,880,2703
7,180,251,10300,1465,7926
40,29,116,585,701,134.6
40,300,255,1700,900,2016
55,190,282,959,850,1360
14,15,210,4940,300,1229
40,152,529,3100,513,722.3
16,300,610,15300,1328,10610
40,23,116,585,500,192
28,200,352,4313,800,2867
40,231,529,3100,574,1028
28,75,148,1870,1020,1124
40,75,238,1170,720,414.7
40,25,79,292,810,155.5
40,25,59,292,650,104
28,65,77,950,1000,806.4
8,80,276,13250,900,10940
32,35,246,1303,533,553
28,33,87,1020,719,552.2
28,55,228,2940,695,2122
28,15,116,585,625,240
28,15,125,1200,200,325.2
32,65,227,1178,600,480
28,275,438,6200,1050,5914
80,20,169,289,475,60.8
12,115,445,10800,900,5184
65,197,324,754,600,384
45,13,66,123,400,12.8
40,150,332,1950,650,748.8
40,26,104,627,650,520
65,23,86,210,540,20.8
65,40,144,314,450,35.2
32,35,246,1303,496,263.4
40,225,520,3000,574,1028
14,35,210,4940,300,1127
28,45,118,1270,850,326.4
28,250,601,8000,988,6844
12,18,200,4700,1365,3037
40,375,529,3100,527,1078
28,33,87,1020,954,732.7
7,205,251,10300,1400,8663
40,35,104,716,725,696
28,100,294,3540,797,2142
65,13,86,210,550,22.4
32,65,227,1178,444,142.1
12,300,815,21100,1245,14130
28,65,77,950,1000,806.4
28,65,221,2540,1006,772.6
40,15,59,292,600,96
55,59,146,514,750,480
40,31,100,486,475,35.2
40,50,166,1040,675,1080
40,60,118,716,650,624
28,15,125,1200,200,553
28,75,212,2800,825,1267
14,50,103,2200,1124,1248
28,51,118,1270,954,732.7
55,151,256,956,750,1200
14,50,123,3000,1125,2460
28,580,438,6200,1000,5632
80,35,169,289,360,23.04
14,10,74,1800,1519,783.9
40,35,238,1170,590,226.6
40,35,100,486,550,116.2
55,30,67,181,594,47.52
28,175,212,2800,1000,2560
12,260,754,18600,1065,12860
28,8,110,1178,300,76.8
40,65,116,585,810,311
28,225,352,4313,900,3226
12,80,284,6600,1410,2849
12,250,815,21100,1312,15670
65,40,144,314,450,35.2
14,15,210,4940,300,384.4
55,48,146,514,600,384
28,100,160,2080,1050,1613
40,35,116,585,650,249.6
28,250,601,8000,988,6844
28,45,123,1500,800,1024
40,14,57,260,625,48
28,230,294,3540,1046,3333
12,110,545,13600,1035,9492
14,150,232,5700,1096,4489
80,17,127,210,400,25.6
8,320,628,28300,1440,29770
40,7,67,370,600,192
14,230,495,12500,1200,10750
12,120,284,6600,1530,5027
7,85,158,6400,1000,3200
28,265,366,5000,1050,3763
80,50,169,289,625,80
14,75,123,3000,1004,2056
28,580,438,6200,1000,5120
55,50,121,314,550,44.8
28,200,352,4313,850,3315
28,170,294,3540,915,2634
28,50,118,1270,875,336
40,365,520,3000,608,1244
28,30,148,1870,756,1000
28,130,294,3540,823,2046
40,64,104,627,775,620
7,85,158,6400,1375,4632
55,23,121,314,500,80
40,12,79,292,738,141.7
14,210,495,12500,1138,8960
28,122,294,3540,706,2169
55,150,256,956,750,1200
40,50,118,716,650,624
40,29,79,292,874,167.8
7,225,251,10300,1680,10140
14,25,132,3300,1430,1196
55,15,146,514,550,352
7,165,826,54200,930,10320
55,55,146,514,600,384
40,50,238,1170,675,518.4
55,76,256,956,750,1200
28,130,118,1270,850,326.4
65,35,144,314,500,80
55,14,121,314,500,80
28,15,116,585,775,297.6
28,35,87,1020,967,742.7
28,90,228,2940,1024,1825
12,120,284,6600,1500,5437
12,80,545,13600,600,8294
32,65,246,1303,800,409.6
14,15,210,4940,300,1498
55,50,121,314,550,89.6
28,55,148,1870,1020,1111
14,35,123,3000,855,1313
55,150,256,956,750,1200
40,65,116,585,810,311
28,47,123,1500,800,614.4
40,86,166,1040,700,1008
28,33,116,585,800,307.2
40,14,104,716,500,480
14,75,232,5700,713,3903
40,25,100,486,615,49.49
40,35,238,1170,590,339.8
55,25,73,242,650,104
14,60,123,3000,1019,1371
12,100,284,6600,1530,4416
28,50,125,1550,730,786.4
28,50,77,950,730,499.2
16,120,314,7200,1506,4375
14,75,123,3000,907,1858
28,38,118,1270,706,271.1
28,9,110,1178,300,76.8
12,50,200,4700,1380,3103
28,80,221,2540,810,1244
14,185,232,5700,1257,6175
28,45,148,1870,1058,863.2
14,75,123,3000,1175,2611
40,40,57,260,520,39.36
14,150,232,5700,1000,3960
65,20,85,180,398,31.84
28,250,561,7080,875,5345
28,43,123,1500,800,1024
14,35,210,4940,300,1761
28,225,352,4313,900,3226
80,42,169,289,460,58.88
28,50,125,1550,730,786.4
80,10,127,210,400,12.8
28,49,87,1020,1046,803.3
28,225,294,3540,745,2289
28,19,87,1020,954,366.3
55,50,121,314,550,44.8
28,180,212,2800,1000,2688
28,65,77,950,900,691.2
65,50,144,314,600,96
14,65,123,3000,1090,2106
28,115,160,2080,1100,1971
40,11,59,292,750,120
28,85,160,2080,1050,1882
12,110,545,13600,1110,7987
40,23,100,486,550,116.2
16,150,314,7200,1556,8878
14,15,210,4940,300,1792
40,33,116,585,660,253.4
40,39,118,716,650,416
8,200,392,17400,1410,16200
40,49,116,585,700,268.8
55,30,146,514,600,384
40,151,334,2154,725,2088
40,200,529,3100,608,855.4
40,39,104,627,550,352
28,150,366,5000,920,3768
65,140,324,754,580,278.4
12,250,815,21100,1260,14130
22,30,181,1300,200,704
40,160,332,1950,779,1046
80,47,169,289,600,92.8
28,500,438,6200,1018,5733
28,150,221,2540,1033,2108
14,15,210,4940,300,1971
40,5,59,292,500,80
40,365,529,3100,608,1166
40,19,59,292,650,104
32,65,246,1303,720,648.2
28,150,212,2800,900,2368
65,40,144,314,550,88
80,47,169,289,540,38.08
40,100,166,1040,800,1280
40,28,144,727,500,240
40,35,67,370,775,248
28,25,110,1178,600,153.6
80,21,127,210,459,29.38
55,219,470,1400,633,673.9
28,19,87,1020,954,366.3
65,70,324,754,500,240
65,95,240,505,650,208
40,75,332,1950,598,803.7
90,640,484,681,600,345.6
55,75,192,666,670,428.8
40,9,75,450,500,80
40,35,238,1170,650,388.8
65,89,153,390,800,192
40,188,334,2154,850,2720
16,150,314,7200,1506,6463
40,106,238,1170,790,455
40,100,332,1950,620,952.3
14,75,132,3300,1354,1911
14,65,103,2200,925,1248
28,19,87,1020,967,742.7
40,138,334,2154,700,2016
28,15,107,930,800,204.8
8,80,392,17400,780,13210
14,10,210,4940,300,1665
28,100,294,3540,693,2491
28,15,116,585,738,141.7
80,12,127,210,450,35.2
28,50,56,690,1030,659.2
80,38,169,289,460,29.44
28,65,221,2540,1058,812.5
32,65,246,1303,760,695
16,120,314,7200,1442,6738
55,75,260,754,500,240
7,300,331,13230,1200,13410
14,50,103,2200,1124,1240
28,80,212,2800,958,1962
14,15,210,4940,300,422.8
40,45,118,716,600,576
55,35,73,242,500,80
65,14,86,210,640,25.6
28,75,294,3540,706,1084
55,120,260,754,675,362.9
12,250,815,21100,1245,16350
40,65,116,585,810,311
28,45,148,1870,991,1469
40,20,104,716,450,432
14,75,132,3300,1000,1458
32,35,227,1178,400,256
40,29,79,292,550,115.2
28,75,228,2940,796,1786
40,19,59,292,650,104
14,295,495,12500,1247,12660
40,35,104,716,725,696
14,35,210,4940,300,1761
65,75,324,754,500,280
28,250,601,8000,948,6844
55,10,73,242,500,80
14,50,103,2200,1100,1211
28,134,221,2540,980,1585
28,190,366,5000,918,3290
40,150,334,2154,700,2016
40,100,520,3000,450,691.2
40,100,332,1950,575,883.2
16,80,200,4400,1063,3789
16,250,471,11800,1405,12150
40,150,389,2640,725,1856
14,120,232,5700,926,4940
8,350,628,28300,1365,34100
40,18,75,450,276,44.16
55,188,470,1400,610,622.1
65,34,144,314,450,35.2
40,75,389,2640,600,614.4
40,17,59,292,500,80
65,75,324,754,550,352
40,75,118,716,800,768
28,170,294,3540,915,2634
40,25,57,260,589,44.86
40,25,57,260,589,44.86
80,10,127,210,400,12.8
65,75,324,754,600,384
80,40,127,210,580,44.8
40,20,79,292,523,100.4
28,150,212,2800,950,2432
16,105,314,7200,1202,5304
28,15,116,585,625,240
28,300,561,7100,562,4113
14,120,232,5700,926,4322
40,150,332,1950,810,1089
65,20,162,282,450,35.2
65,14,144,314,450,35.2
28,130,294,3540,823,2046
55,640,470,1400,648,622.1
14,75,132,3300,1152,1983
40,18,75,450,276,44.16
12,50,200,4700,1395,3195
40,39,104,627,650,520
28,75,77,950,1000,806.4
28,148,398,5200,1050,3920
8,300,628,28300,1305,37740
65,40,86,210,550,22.4
55,50,121,314,550,89.6
28,15,116,585,775,297.6
40,70,238,1170,720,414.7
55,110,256,956,575,736
28,15,116,585,625,240
65,125,324,754,600,336
40,27,67,370,750,240
28,50,228,2940,872,2195
16,150,359,7000,1172,6001
65,45,153,390,800,192
12,50,200,4700,1035,2458
28,65,118,1270,1058,812.5
40,49,116,585,700,268.8
65,20,85,180,525,42
7,150,251,10300,1130,6390
28,195,294,3540,1006,3250
12,110,545,13600,1035,9492
28,225,294,3540,745,2289
7,15,156,9800,400,896
12,175,232,5700,1469,7119
40,44,104,716,650,624
28,50,148,1870,1033,793.3
55,108,470,1400,600,462.3
32,35,246,1303,533,480.8
40,39,104,627,550,352
14,35,103,2200,1124,1248
14,50,132,3300,1557,2468
12,250,754,18600,1350,13450
40,60,118,716,650,624
40,35,116,585,740,284.2
8,220,392,17400,1500,20310
28,33,87,1020,719,552.2
12,18,200,4700,420,2554
28,55,123,1500,800,819.2
14,35,123,3000,850,1858
14,47,132,3300,1354,1425
40,14,57,260,625,48.96
80,20,169,289,575,73.6
40,23,100,486,450,91.2
28,45,118,1270,549,421.6
40,14,104,716,450,440
40,20,57,260,500,34.24
14,130,232,5700,1188,5728
40,204,529,3100,574,1028
28,100,398,5200,975,2995
65,12,144,314,580,44.8
40,14,57,260,606,38.78
40,900,529,3100,574,1028
55,32,67,181,800,64
55,59,146,514,750,480
65,20,85,180,519,41.52
40,19,59,292,650,104
14,50,103,2200,1100,1505
28,35,118,1270,850,326.4
65,60,240,505,600,192
28,375,352,4313,950,4096
14,300,495,12500,1400,12290
28,110,221,2540,928,1425
28,55,123,1500,925,1184
12,65,445,10800,1005,5990
40,150,334,2154,700,2016
40,75,332,1950,450,432
40,23,100,486,500,52.8
